split,accuracy,precision_macro,recall_macro,f1_macro,auc_macro_ovr
val,0.8095238095238095,0.8030252926216245,0.8092899512806494,0.805903162345177,0.9588387674667982
test,0.7968337730870713,0.7839267596625112,0.7617256126827189,0.7680492883952623,0.9593268653353891
