epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_monitor,early_stop_value,early_stop_improved,epochs_without_improvement
1,0.6653563994154942,0.7559952038369304,0.29287439751225475,0.8854748603351955,0.05,64.78256511688232,True,val_loss,0.29287439751225475,True,0
2,0.25067273990141686,0.9130695443645084,0.21491665680315242,0.9329608938547486,0.048776412907378844,37.392306327819824,True,val_loss,0.21491665680315242,True,0
3,0.12089852434839848,0.959832134292566,0.17487013339996338,0.946927374301676,0.04522542485937369,40.12783074378967,True,val_loss,0.17487013339996338,True,0
4,0.0719082682824535,0.9784172661870504,0.1982211816910259,0.9301675977653632,0.03969463130731184,38.73859763145447,False,val_loss,0.1982211816910259,False,1
5,0.05043400162987286,0.9826139088729017,0.15615060376055415,0.9553072625698324,0.03272542485937369,39.14509344100952,True,val_loss,0.15615060376055415,True,0
6,0.04161867985336615,0.988009592326139,0.1284242868423462,0.9497206703910615,0.025000000000000005,39.14498329162598,False,val_loss,0.1284242868423462,True,0
7,0.016268818569983797,0.9970023980815348,0.12501564455431932,0.9608938547486033,0.01727457514062632,38.96070313453674,True,val_loss,0.12501564455431932,True,0
8,0.023105762988257464,0.9922062350119905,0.11940025001264817,0.9553072625698324,0.010305368692688176,39.20008897781372,False,val_loss,0.11940025001264817,True,0
9,0.013495179103146926,0.9952038369304557,0.11954088350914044,0.952513966480447,0.0047745751406263175,39.426698446273804,False,val_loss,0.11954088350914044,False,1
10,0.01574943548769688,0.9976019184652278,0.12143955100848022,0.9581005586592178,0.001223587092621162,38.99649214744568,False,val_loss,0.12143955100848022,False,2
