epoch,train_loss,train_acc,train_loss_soft,train_loss_hard,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_monitor,early_stop_value,early_stop_improved,epochs_without_improvement
1,0.4823548076104145,0.9410430839002267,5.922995524071242,0.19600529485548976,0.6689529068886287,0.8042328042328042,0.0005,19.440664052963257,True,val_loss,0.6689529068886287,True,0
2,0.4850333151903823,0.9342403628117913,5.58604080823003,0.2165592359526763,0.6942761401650767,0.798941798941799,0.0004996573836886434,11.359083890914917,False,val_loss,0.6942761401650767,False,1
3,0.44519199643816265,0.9370748299319728,5.405987726587828,0.18409747773963037,0.704062973065351,0.8015873015873016,0.0004986304738420682,11.348390579223633,False,val_loss,0.704062973065351,False,2
4,0.5060864796443861,0.9206349206349206,5.466096106029692,0.2450333371116461,0.719701971011187,0.7804232804232805,0.0004969220851487844,11.30504822731018,False,val_loss,0.719701971011187,False,3
5,0.42337403066304263,0.9450113378684807,5.1348888436142275,0.1753995655961926,0.7443508799113925,0.7857142857142857,0.0004945369001834514,10.824451923370361,False,val_loss,0.7443508799113925,False,4
6,0.4393357844039156,0.9297052154195011,5.100708958243026,0.1940003525034911,0.7260298334732258,0.7883597883597884,0.0004914814565722671,11.319432497024536,False,val_loss,0.7260298334732258,False,5
7,0.44801369410793795,0.9291383219954649,5.098580576665277,0.2032470147288035,0.7375808030209213,0.7777777777777778,0.00048776412907378846,11.32099199295044,False,val_loss,0.7375808030209213,False,6
8,0.4330726570688408,0.937641723356009,4.92626582359781,0.19658880489044178,0.7293727101472319,0.7883597883597884,0.00048339510662430044,11.539870977401733,False,val_loss,0.7293727101472319,False,7
9,0.4242761208762387,0.9359410430839002,4.959830807450136,0.1855627163207737,0.719017933600794,0.7857142857142857,0.0004783863644106502,11.185839176177979,False,val_loss,0.719017933600794,False,8
10,0.43306239310846306,0.9319727891156463,4.90099629469199,0.19790797425505796,0.7370939554360808,0.7883597883597884,0.00047275163104709196,11.655747413635254,False,val_loss,0.7370939554360808,False,9
11,0.41012776533221984,0.9399092970521542,4.771157877785819,0.18059986293349678,0.7475370588126006,0.7936507936507936,0.00046650635094610973,11.566654682159424,False,val_loss,0.7475370588126006,False,10
12,0.4088068103033399,0.9421768707482994,4.746520726859164,0.18050607659615356,0.7485063615299407,0.8015873015873016,0.00045966764198635603,11.71231460571289,False,val_loss,0.7485063615299407,False,11
13,0.4032631223163908,0.9342403628117913,4.710585522813862,0.1765619408499762,0.7869287442277979,0.783068783068783,0.0004522542485937369,11.319443702697754,False,val_loss,0.7869287442277979,False,12
14,0.375237307310645,0.9444444444444444,4.569911135026928,0.1544649982550382,0.7728347551254999,0.783068783068783,0.00044428649036424276,10.966069221496582,False,val_loss,0.7728347551254999,False,13
