epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_monitor,early_stop_value,early_stop_improved,epochs_without_improvement
1,1.5873457471799959,0.35147392290249435,1.8789115973881312,0.41534391534391535,0.05,10.060785055160522,True,val_loss,1.8789115973881312,True,0
2,1.494522482900122,0.40249433106575966,1.2418300764901298,0.5052910052910053,0.04998766400914329,4.81702733039856,True,val_loss,1.2418300764901298,True,0
3,1.4142392919717732,0.4546485260770975,1.3488517261686779,0.4497354497354497,0.04995066821070679,4.398918390274048,False,val_loss,1.3488517261686779,False,1
4,1.3670693006104624,0.46541950113378683,1.2711076679683866,0.4417989417989418,0.049889049115077,4.569556474685669,False,val_loss,1.2711076679683866,False,2
5,1.292518341622385,0.4954648526077097,1.1738580780685264,0.5529100529100529,0.04980286753286195,4.411325454711914,True,val_loss,1.1738580780685264,True,0
6,1.2547067028054304,0.5005668934240363,1.4005405492883511,0.41798941798941797,0.04969220851487844,4.502407789230347,False,val_loss,1.4005405492883511,False,1
7,1.2109909890190003,0.54421768707483,1.302201929546538,0.4894179894179894,0.04955718126821722,4.535989999771118,False,val_loss,1.302201929546538,False,2
8,1.1833079774904143,0.5289115646258503,1.0601581801813116,0.6111111111111112,0.049397919048468686,4.424628496170044,True,val_loss,1.0601581801813116,True,0
9,1.156411008769963,0.564625850340136,0.9953882624863317,0.582010582010582,0.04921457902821578,4.521490812301636,False,val_loss,0.9953882624863317,True,0
10,1.1378237849730752,0.5759637188208617,1.100588150125332,0.5687830687830688,0.04900734214192358,4.311532735824585,False,val_loss,1.100588150125332,False,1
11,1.1075982896108476,0.5753968253968254,1.0967246943680697,0.5529100529100529,0.048776412907378844,4.416846752166748,False,val_loss,1.0967246943680697,False,2
12,1.0874529549864684,0.5702947845804989,1.0647584105294847,0.5396825396825397,0.04852201922385564,4.4779744148254395,False,val_loss,1.0647584105294847,False,3
13,1.0601745095112427,0.6060090702947846,0.9839923640407583,0.6216931216931217,0.04824441214720629,4.630556583404541,True,val_loss,0.9839923640407583,True,0
14,1.0198457911441656,0.623015873015873,0.9462301876179124,0.6375661375661376,0.04794386564209953,4.478505849838257,True,val_loss,0.9462301876179124,True,0
15,1.0029320419510477,0.6281179138321995,1.302724836995362,0.5343915343915344,0.04762067631165049,4.406028747558594,False,val_loss,1.302724836995362,False,1
16,1.0377437662916118,0.604875283446712,1.189820475679226,0.5052910052910053,0.0472751631047092,4.4313063621521,False,val_loss,1.189820475679226,False,2
17,0.9782230621562793,0.6309523809523809,1.0352032900487305,0.5687830687830688,0.046907667001096595,4.725711345672607,False,val_loss,1.0352032900487305,False,3
18,0.9781872020557083,0.63718820861678,1.0097352039246332,0.6058201058201058,0.0465185506750986,4.341379642486572,False,val_loss,1.0097352039246332,False,4
19,0.9088154001300838,0.6587301587301587,0.8369291711736608,0.6878306878306878,0.04610819813755039,4.382727146148682,True,val_loss,0.8369291711736608,True,0
20,0.9331152374241628,0.6462585034013606,0.9142913528220363,0.6322751322751323,0.04567701435686406,4.42686915397644,False,val_loss,0.9142913528220363,False,1
21,0.8777978468914421,0.6660997732426304,0.8165026461636579,0.6772486772486772,0.045225424859373704,4.487955331802368,False,val_loss,0.8165026461636579,True,0
22,0.8673102996246614,0.6785714285714286,0.8377041239587087,0.6984126984126984,0.044753875309392274,4.314013242721558,True,val_loss,0.8377041239587087,False,1
23,0.8394462013460882,0.6870748299319728,0.7710646945963461,0.7063492063492064,0.04426283106939475,4.3639538288116455,True,val_loss,0.7710646945963461,True,0
24,0.8294789950593529,0.6819727891156463,0.7446087378042715,0.7275132275132276,0.04375277674076151,4.339015960693359,True,val_loss,0.7446087378042715,True,0
25,0.8112811990876316,0.687641723356009,0.802892872896144,0.6931216931216931,0.043224215685535305,4.549442768096924,False,val_loss,0.802892872896144,False,1
26,0.7991057888450536,0.70578231292517,0.6771136030318246,0.753968253968254,0.0426776695296637,4.4457526206970215,True,val_loss,0.6771136030318246,True,0
27,0.7915185546658747,0.7091836734693877,0.8235693709560172,0.7142857142857143,0.04211367764821723,4.275444030761719,False,val_loss,0.8235693709560172,False,1
28,0.8174997251860949,0.6950113378684807,0.7217400033007223,0.753968253968254,0.04153279663309131,4.376903772354126,False,val_loss,0.7217400033007223,False,2
29,0.7437946026017066,0.7250566893424036,1.0396288324285436,0.6296296296296297,0.04093559974371726,4.495120048522949,False,val_loss,1.0396288324285436,False,3
30,0.7372285892633624,0.713718820861678,0.8801994380496797,0.6666666666666666,0.04032267634132443,4.458676815032959,False,val_loss,0.8801994380496797,False,4
31,0.7343278004198658,0.7324263038548753,0.7092551585858461,0.7301587301587301,0.03969463130731185,4.4811835289001465,False,val_loss,0.7092551585858461,False,5
32,0.6923505694958088,0.7465986394557823,0.8878437778937123,0.6798941798941799,0.03905208444630329,4.325985431671143,False,val_loss,0.8878437778937123,False,6
33,0.6731081630637586,0.7522675736961452,0.8662520464135226,0.7063492063492064,0.03839566987447493,4.594866037368774,False,val_loss,0.8662520464135226,False,7
34,0.6698337585207016,0.7562358276643991,0.6960954060630192,0.7486772486772487,0.0377260353937593,4.478529691696167,False,val_loss,0.6960954060630192,False,8
35,0.7184396438858136,0.7329931972789115,0.7521515428704559,0.7301587301587301,0.0370438418525429,4.392497539520264,False,val_loss,0.7521515428704559,False,9
36,0.6595644934647749,0.7590702947845805,0.8596408272546435,0.6746031746031746,0.03634976249348869,4.420781373977661,False,val_loss,0.8596408272546435,False,10
37,0.5759640031931351,0.800453514739229,0.9101257765734637,0.6693121693121693,0.03564448228912683,4.3703453540802,False,val_loss,0.9101257765734637,False,11
38,0.6079743851880097,0.7908163265306123,0.8273244534850751,0.7248677248677249,0.03492869726586953,4.468858003616333,False,val_loss,0.8273244534850751,False,12
39,0.6022432042357603,0.7709750566893424,0.7675927142617563,0.7592592592592593,0.03420311381711697,4.3152220249176025,True,val_loss,0.7675927142617563,False,13
40,0.5979611608717177,0.7806122448979592,0.8734804568467317,0.7037037037037037,0.03346844800613231,4.358058929443359,False,val_loss,0.8734804568467317,False,14
41,0.5567165187426976,0.7953514739229025,1.0710339457900435,0.6507936507936508,0.03272542485937371,4.299870014190674,False,val_loss,1.0710339457900435,False,15
