preset,use_kd,temperature,alpha,stage2_lr,assistant_img_size,best_epoch,val_accuracy,val_f1_macro,val_auc,setup_id
ce_finetune_lr1em4,False,,,0.0001,380,20,0.7960893854748603,0.7921159335040249,0.9498441314457953,r8_k5_pilot_wn256_ce-finetune_ce_finetune_lr1em4_s42_no-kd_lr0p0001_e60_img160_bs16
ta_t4_a0p5_lr1em4_av380,True,4.0,0.5,0.0001,380,13,0.7960893854748603,0.79201909982731,0.9517926739291834,r8_k5_pilot_wn256_ta-kd_ta_t4_a0p5_lr1em4_av380_s42_t4p0_a0p5_av380_lr0p0001_e60_img160_bs16
ta_t4_a0p5_lr1em5_av380,True,4.0,0.5,1e-05,380,49,0.7960893854748603,0.7918681600663025,0.9522700403235937,r8_k5_pilot_wn256_ta-kd_ta_t4_a0p5_lr1em5_av380_s42_t4p0_a0p5_av380_lr1em05_e60_img160_bs16
ce_finetune_lr1em5,False,,,1e-05,380,25,0.7932960893854749,0.7890038178034645,0.9483889397278533,r8_k5_pilot_wn256_ce-finetune_ce_finetune_lr1em5_s42_no-kd_lr1em05_e60_img160_bs16
ta_t4_a0p5_lr1em5_av160,True,4.0,0.5,1e-05,160,1,0.7793296089385475,0.7737840921964371,0.9484425117685612,r8_k5_pilot_wn256_ta-kd_ta_t4_a0p5_lr1em5_av160_s42_t4p0_a0p5_av160_lr1em05_e60_img160_bs16
ta_t4_a0p5_lr1em4_av160,True,4.0,0.5,0.0001,160,1,0.776536312849162,0.7696427106874169,0.9482697210127602,r8_k5_pilot_wn256_ta-kd_ta_t4_a0p5_lr1em4_av160_s42_t4p0_a0p5_av160_lr0p0001_e60_img160_bs16
