epoch,train_loss,train_acc,train_loss_soft,train_loss_hard,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_monitor,early_stop_value,early_stop_improved,epochs_without_improvement
1,2.6906391401139516,0.34183673469387754,5.167994414867998,1.628915401272763,1.6646454485635909,0.3941798941798942,0.05,15.903749704360962,True,val_loss,1.6646454485635909,True,0
2,2.580376361232766,0.36507936507936506,4.927362030055247,1.5745253000670278,1.4514855430239724,0.3941798941798942,0.04998766400914329,6.19973611831665,False,val_loss,1.4514855430239724,True,0
3,2.470979068284673,0.4155328798185941,4.742526763691113,1.4974585728310132,1.4021396107143826,0.43915343915343913,0.04995066821070679,6.022813320159912,True,val_loss,1.4021396107143826,True,0
4,2.403464779021248,0.4370748299319728,4.6086749684513295,1.45837464800227,1.3341026899045108,0.5026455026455027,0.049889049115077,5.87158727645874,True,val_loss,1.3341026899045108,True,0
5,2.375584257973565,0.43934240362811794,4.54837394679755,1.4443886317904033,1.3875151639262204,0.5105820105820106,0.04980286753286195,5.982759475708008,True,val_loss,1.3875151639262204,False,1
6,2.3352473079482445,0.4523809523809524,4.48734193161772,1.4129209883359013,1.5570972344231984,0.48412698412698413,0.04969220851487844,5.829446077346802,False,val_loss,1.5570972344231984,False,2
7,2.2590223775158664,0.47845804988662133,4.335164805388505,1.3692470088837638,1.6780667998803356,0.36507936507936506,0.04955718126821722,6.0765886306762695,False,val_loss,1.6780667998803356,False,3
8,2.2402448135168376,0.4733560090702948,4.29160681333131,1.3610896239745645,1.3093767595038843,0.4973544973544973,0.049397919048468686,5.898297548294067,False,val_loss,1.3093767595038843,True,0
9,2.2181282892248797,0.4937641723356009,4.270954865176662,1.3383454127646899,1.1986549884553939,0.5264550264550265,0.04921457902821578,6.098456144332886,True,val_loss,1.1986549884553939,True,0
10,2.1608735785192374,0.47959183673469385,4.151602809931956,1.3077038615739265,1.1394032321909748,0.5740740740740741,0.04900734214192358,6.113590955734253,True,val_loss,1.1394032321909748,True,0
