epoch,train_loss,train_acc,train_loss_soft,train_loss_hard,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_monitor,early_stop_value,early_stop_improved,epochs_without_improvement
1,0.48290467789383973,0.93140589569161,1.1426350521662878,0.20016306871865072,0.6968299437452246,0.798941798941799,0.001,23.55895757675171,True,val_loss,0.6968299437452246,True,0
2,0.46551177020516255,0.9387755102040817,1.0877949091312296,0.19881898286391278,0.714046959208433,0.8042328042328042,0.0009993147673772868,11.713035345077515,True,val_loss,0.714046959208433,False,1
3,0.44285006412302824,0.935374149659864,1.0526590377024783,0.18150334467355356,0.7277488197599139,0.8015873015873016,0.0009972609476841365,11.468216896057129,False,val_loss,0.7277488197599139,False,2
4,0.4344023395828109,0.9393424036281179,0.99903090416439,0.19241865867930474,0.7512067789753909,0.791005291005291,0.0009938441702975688,11.258832931518555,False,val_loss,0.7512067789753909,False,3
5,0.4026560118409241,0.9438775510204082,0.9623307643834155,0.16279538510506655,0.779558710320286,0.7883597883597884,0.0009890738003669028,11.285867691040039,False,val_loss,0.779558710320286,False,4
6,0.4186696302728588,0.937641723356009,0.9771412586679264,0.17932463197835855,0.7481448404372685,0.791005291005291,0.0009829629131445341,11.374037742614746,False,val_loss,0.7481448404372685,False,5
7,0.4158160630402381,0.9319727891156463,0.968085283324832,0.17912924222969143,0.7665026358195713,0.7777777777777778,0.0009755282581475769,11.26979947090149,False,val_loss,0.7665026358195713,False,6
8,0.403075495544745,0.9399092970521542,0.9304713497356493,0.17704868839542612,0.8004366828020287,0.7857142857142857,0.0009667902132486009,11.220848560333252,False,val_loss,0.8004366828020287,False,7
9,0.4017807429069294,0.9387755102040817,0.9316081853410284,0.1747118277969409,0.785563952393002,0.7777777777777778,0.0009567727288213005,11.221725225448608,False,val_loss,0.785563952393002,False,8
10,0.37916720116219554,0.9501133786848073,0.8970978016756019,0.1571969298472683,0.8006274507790015,0.7883597883597884,0.0009455032620941839,11.062513589859009,False,val_loss,0.8006274507790015,False,9
11,0.3806272772839821,0.9467120181405896,0.8898023575071304,0.16240937084322815,0.7890530610210681,0.7962962962962963,0.0009330127018922195,11.394619703292847,False,val_loss,0.7890530610210681,False,10
12,0.39741133339280715,0.9404761904761905,0.934562793934967,0.16720355227758554,0.792093418262623,0.7962962962962963,0.0009193352839727121,11.336045742034912,False,val_loss,0.792093418262623,False,11
13,0.3921642175742558,0.937641723356009,0.9000116751577849,0.1745152946291259,0.8365785662459317,0.7883597883597884,0.0009045084971874737,11.172297716140747,False,val_loss,0.8365785662459317,False,12
14,0.3409620386943255,0.9489795918367347,0.8063535549743376,0.14150851937918976,0.8311781533180721,0.7857142857142857,0.0008885729807284855,11.552010536193848,False,val_loss,0.8311781533180721,False,13
15,0.38677079255889063,0.9387755102040817,0.8925337672503897,0.17001522171085112,0.8031508935191644,0.7936507936507936,0.0008715724127386972,11.147984743118286,False,val_loss,0.8031508935191644,False,14
16,0.3876501116352557,0.937641723356009,0.8891237230122495,0.17273283933443515,0.7995277308913135,0.8042328042328042,0.0008535533905932738,11.12112283706665,False,val_loss,0.7995277308913135,False,15
