epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_monitor,early_stop_value,early_stop_improved,epochs_without_improvement
1,0.6258946755092493,0.7691846522781774,0.301920416634842,0.8854748603351955,0.05,62.59905123710632,True,val_loss,0.301920416634842,True,0
2,0.19844918885676982,0.9286570743405276,0.2384491519555033,0.9273743016759777,0.049863047384206834,35.232983112335205,True,val_loss,0.2384491519555033,True,0
3,0.11672813679388673,0.9580335731414868,0.15578985447324187,0.9413407821229051,0.04945369001834514,35.83641195297241,True,val_loss,0.15578985447324187,True,0
4,0.08504603492270271,0.9724220623501199,0.2206414681573154,0.9357541899441341,0.04877641290737884,36.587254762649536,False,val_loss,0.2206414681573154,False,1
5,0.061648694659880314,0.9802158273381295,0.15232090343976154,0.9553072625698324,0.047838636441065015,36.59746193885803,True,val_loss,0.15232090343976154,True,0
6,0.03834479404010361,0.986810551558753,0.1686982668977876,0.946927374301676,0.04665063509461097,36.49243378639221,False,val_loss,0.1686982668977876,False,1
7,0.016424563934477113,0.9958033573141487,0.1777869289813761,0.952513966480447,0.045225424859373684,36.52501606941223,False,val_loss,0.1777869289813761,False,2
8,0.030660058239952836,0.9898081534772182,0.11815475152191503,0.9692737430167597,0.04357862063693485,36.53821086883545,True,val_loss,0.11815475152191503,True,0
9,0.025968023484273493,0.9886091127098321,0.14433045227434382,0.9553072625698324,0.04172826515897145,36.904412269592285,False,val_loss,0.14433045227434382,False,1
10,0.017647930686708262,0.9934052757793765,0.16218578981953627,0.9636871508379888,0.03969463130731182,36.57342743873596,False,val_loss,0.16218578981953627,False,2
11,0.01331356882477264,0.9946043165467626,0.13700468713344807,0.9608938547486033,0.03749999999999999,36.539018630981445,False,val_loss,0.13700468713344807,False,3
12,0.007388000722697598,0.9976019184652278,0.13436985382154668,0.9692737430167597,0.035168416076895005,36.56075310707092,False,val_loss,0.13436985382154668,False,4
13,0.006659242460767714,0.9976019184652278,0.14855581988169494,0.9636871508379888,0.032725424859373686,36.43636989593506,False,val_loss,0.14855581988169494,False,5
14,0.002585540429579554,1.0,0.14372903075298119,0.9692737430167597,0.03019779227044398,36.37671613693237,False,val_loss,0.14372903075298119,False,6
15,0.005276937922127813,0.9982014388489209,0.13264414085356216,0.9692737430167597,0.02761321158169134,36.39002752304077,False,val_loss,0.13264414085356216,False,7
