epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_monitor,early_stop_value,early_stop_improved,epochs_without_improvement
1,1.529515587740379,0.33872901678657075,2.6326496897463025,0.3854748603351955,0.05,29.887089014053345,True,val_loss,2.6326496897463025,True,0
2,1.3787865661602798,0.44544364508393286,1.5418923453911724,0.33798882681564246,0.04522542485937369,10.975483894348145,False,val_loss,1.5418923453911724,True,0
3,1.221248994914176,0.500599520383693,1.454099900229683,0.4134078212290503,0.032725424859373686,10.186256408691406,True,val_loss,1.454099900229683,True,0
4,1.142619102121257,0.539568345323741,1.0203326670817157,0.5837988826815642,0.017274575140626316,10.294876098632812,True,val_loss,1.0203326670817157,True,0
5,1.0373746474012195,0.6025179856115108,0.9147570599390807,0.6759776536312849,0.004774575140626317,10.072474718093872,True,val_loss,0.9147570599390807,True,0
