stage,epoch,global_epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,train_loss_soft,train_loss_hard
ce_pretrain,1,1,1.6738455755099688,0.33163265306122447,5.910336285041123,0.2962962962962963,0.05,32.70063757896423,,
ce_pretrain,2,2,1.6099420502072288,0.3645124716553288,1.5226333128712164,0.455026455026455,0.049965738368864344,11.841080665588379,,
ce_pretrain,3,3,1.4387246108109177,0.44160997732426305,1.4868028403589966,0.42592592592592593,0.049863047384206834,11.820844173431396,,
ce_pretrain,4,4,1.372976276069001,0.45861678004535145,1.1921538688518383,0.5317460317460317,0.04969220851487845,11.381864309310913,,
ce_pretrain,5,5,1.3313064715759555,0.48696145124716556,1.0937525834986772,0.6349206349206349,0.049453690018345146,11.334934711456299,,
ce_pretrain,6,6,1.3006570204044956,0.4875283446712018,1.3270798940507194,0.4708994708994709,0.04914814565722671,11.705565214157104,,
ce_pretrain,7,7,1.2309181327992826,0.5357142857142857,1.2608346295735193,0.5317460317460317,0.048776412907378844,11.01763105392456,,
ce_pretrain,8,8,1.15793263777043,0.5521541950113379,1.0994973554813041,0.5925925925925926,0.048339510662430044,10.869271039962769,,
ce_pretrain,9,9,1.171779846658512,0.5521541950113379,1.0690711295163189,0.6111111111111112,0.04783863644106502,10.89794373512268,,
ce_pretrain,10,10,1.139841059708541,0.564625850340136,1.1734276448608076,0.6031746031746031,0.047275163104709195,11.03750467300415,,
ce_pretrain,11,11,1.0775901536011643,0.6071428571428571,0.8259056756105373,0.7037037037037037,0.046650635094610975,10.943362951278687,,
ce_pretrain,12,12,1.0483672462082774,0.5952380952380952,0.9794758028454251,0.6058201058201058,0.0459667641986356,10.998817443847656,,
ce_pretrain,13,13,1.0263101200397864,0.6167800453514739,0.8876438620229247,0.6825396825396826,0.04522542485937369,10.92404055595398,,
ce_pretrain,14,14,0.987330007985606,0.6258503401360545,0.7983017415596695,0.716931216931217,0.04442864903642428,10.869958877563477,,
ce_pretrain,15,15,0.9488679659880208,0.6485260770975056,0.9549673202807311,0.6455026455026455,0.043578620636934864,11.120450258255005,,
ce_pretrain,16,16,0.9171809263510499,0.6547619047619048,0.9661725368449297,0.6164021164021164,0.042677669529663696,11.288008213043213,,
ce_pretrain,17,17,0.8879574012864474,0.671201814058957,0.8305407179095757,0.6984126984126984,0.04172826515897146,10.95941424369812,,
ce_pretrain,18,18,0.8681182769420737,0.6751700680272109,0.8117712133775943,0.708994708994709,0.04073300977624594,10.979319095611572,,
ce_pretrain,19,19,0.7967986065784549,0.7063492063492064,0.6393791244774268,0.7698412698412699,0.03969463130731183,11.040025234222412,,
ce_pretrain,20,20,0.7995781065925719,0.6921768707482994,0.8963730111323968,0.7142857142857143,0.03861597587537568,10.883153676986694,,
ce_pretrain,21,21,0.7914163909531504,0.6978458049886621,0.7649435870861881,0.7222222222222222,0.0375,10.880597114562988,,
ce_pretrain,22,22,0.7435901767812889,0.7324263038548753,0.9461331919387534,0.656084656084656,0.03634976249348867,11.079113960266113,,
