preset,use_kd,temperature,alpha,stage2_lr,assistant_img_size,best_epoch,val_accuracy,val_f1_macro,test_accuracy,setup_id
ta_t4_a0p5_lr1em4_av380,True,4.0,0.5,0.0001,380,79,0.8359788359788359,0.8063377277638065,0.7783641160949868,r8_final_wn256_ta-kd_ta_t4_a0p5_lr1em4_av380_s3407_t4p0_a0p5_av380_lr0p0001_e100_img160_bs16
ce_finetune_lr1em4,False,,,0.0001,380,3,0.8333333333333334,0.796743547753105,0.7651715039577837,r8_final_wn256_ce-finetune_ce_finetune_lr1em4_s3407_no-kd_lr0p0001_e100_img160_bs16
