epoch,train_loss,train_acc,train_loss_soft,train_loss_hard,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_monitor,early_stop_value,early_stop_improved,epochs_without_improvement
1,2.3682033485836453,0.9739229024943311,4.664090064647787,0.07231663862272861,0.7661125663096312,0.8386243386243386,0.0005,34.70412564277649,True,val_loss,0.7661125663096312,True,0
2,2.0775094443167688,0.9733560090702947,4.070674232344508,0.08434465748749995,0.8173337622925088,0.8148148148148148,0.0004998766400914329,18.370332956314087,False,val_loss,0.8173337622925088,False,1
3,1.810765718386557,0.9801587301587301,3.564762666922848,0.056768785964680706,0.8768545032809021,0.8253968253968254,0.0004995066821070679,17.185566425323486,False,val_loss,0.8768545032809021,False,2
4,1.7234115735743862,0.9710884353741497,3.361975637422938,0.08484751268769372,0.8318584974480685,0.8201058201058201,0.00049889049115077,16.913160800933838,False,val_loss,0.8318584974480685,False,3
5,1.6477711379122573,0.971655328798186,3.2213752718469184,0.07416699979825964,0.847670004481361,0.8201058201058201,0.0004980286753286195,16.84370732307434,False,val_loss,0.847670004481361,False,4
6,1.519872432933643,0.9710884353741497,2.9637644945088426,0.07598037862740542,0.8751272496092256,0.828042328042328,0.0004969220851487844,16.71659255027771,False,val_loss,0.8751272496092256,False,5
7,1.421028094497127,0.9790249433106576,2.779389039188826,0.06266715401254833,0.9167216814384258,0.8227513227513228,0.0004955718126821722,17.228663206100464,False,val_loss,0.9167216814384258,False,6
8,1.318749528352906,0.9829931972789115,2.5822412216203823,0.05525783859122051,0.9132616964597551,0.8333333333333334,0.0004939791904846868,17.170029878616333,False,val_loss,0.9132616964597551,False,7
9,1.380589259184407,0.9739229024943311,2.686577208728747,0.07460131436359885,0.9113481069998767,0.8174603174603174,0.0004921457902821577,16.902634620666504,False,val_loss,0.9113481069998767,False,8
10,1.2347963140124367,0.9795918367346939,2.4087925054589094,0.06080012219256348,0.955515049121998,0.8253968253968254,0.0004900734214192357,17.359930753707886,False,val_loss,0.955515049121998,False,9
