split,accuracy,precision_macro,recall_macro,f1_macro,auc_macro_ovr
val,0.8809523809523809,0.8663202872713854,0.8787486684774398,0.8712138941737119,0.9834337329185855
test,0.8601583113456465,0.8567130144605116,0.8508601880955697,0.8532814086203917,0.9837194899695856
