stage,epoch,global_epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,train_loss_soft,train_loss_hard
ce_pretrain,1,1,1.6623411816534273,0.3219954648526077,5.04791445959182,0.15608465608465608,0.05,29.74918222427368,,
ce_pretrain,2,2,1.5534623074693745,0.3900226757369615,1.5354209829259802,0.36243386243386244,0.04998766400914329,10.286190748214722,,
ce_pretrain,3,3,1.4794034233439266,0.4166666666666667,1.3746999230965105,0.4470899470899471,0.04995066821070679,10.217530727386475,,
ce_pretrain,4,4,1.3927089654399154,0.45294784580498865,1.4432804155602026,0.42857142857142855,0.049889049115077,10.00667953491211,,
ce_pretrain,5,5,1.3356960387456984,0.4824263038548753,1.27945543849279,0.5158730158730159,0.04980286753286195,10.058403253555298,,
ce_pretrain,6,6,1.3240413568457778,0.49206349206349204,1.1586832331601904,0.5661375661375662,0.04969220851487844,10.746630668640137,,
ce_pretrain,7,7,1.268332916052163,0.5022675736961452,1.4469526179883845,0.4603174603174603,0.04955718126821722,10.180717945098877,,
ce_pretrain,8,8,1.227334524228189,0.532312925170068,1.112476842113273,0.5767195767195767,0.049397919048468686,10.217212200164795,,
ce_pretrain,9,9,1.2100603250689517,0.5402494331065759,0.9657182646176171,0.6534391534391535,0.04921457902821578,10.130949258804321,,
ce_pretrain,10,10,1.1483391704472825,0.5634920634920635,1.1556663134741405,0.5476190476190477,0.04900734214192358,10.161324739456177,,
ce_pretrain,11,11,1.1337962647954893,0.5770975056689343,1.1841372623645439,0.5264550264550265,0.048776412907378844,10.125837802886963,,
ce_pretrain,12,12,1.1220028989709694,0.5719954648526077,0.9982029669499272,0.6507936507936508,0.04852201922385564,10.26233458518982,,
ce_pretrain,13,13,1.065102047390408,0.5986394557823129,1.0697911851620547,0.6375661375661376,0.04824441214720629,10.240609169006348,,
ce_pretrain,14,14,1.0338047431980402,0.6162131519274376,1.023555423216845,0.626984126984127,0.04794386564209953,10.236099243164062,,
ce_pretrain,15,15,1.010095591988423,0.6315192743764172,1.1860737119402205,0.5740740740740741,0.04762067631165049,10.14830207824707,,
ce_pretrain,16,16,0.9970770001141123,0.6354875283446711,0.8922799174432401,0.6640211640211641,0.0472751631047092,10.271023511886597,,
ce_pretrain,17,17,0.9035729432051955,0.6626984126984127,0.8126569035507384,0.6851851851851852,0.046907667001096595,10.229905366897583,,
ce_pretrain,18,18,0.8975840533942052,0.6706349206349206,0.9596685858630629,0.6878306878306878,0.0465185506750986,10.064804553985596,,
