preset,use_kd,temperature,alpha,stage2_lr,assistant_img_size,best_epoch,val_accuracy,val_f1_macro,test_accuracy,setup_id
ta_t4_a0p5_lr1em4_av380,True,4.0,0.5,0.0001,380,39,0.8016759776536313,0.7981116038856609,0.8184357541899442,r8_k5_final_wn256_ta-kd_ta_t4_a0p5_lr1em4_av380_s42_t4p0_a0p5_av380_lr0p0001_e100_img160_bs16
ce_finetune_lr1em4,False,,,0.0001,380,20,0.7905027932960894,0.787970765013801,0.8156424581005587,r8_k5_final_wn256_ce-finetune_ce_finetune_lr1em4_s42_no-kd_lr0p0001_e100_img160_bs16
