epoch,train_loss,train_acc,train_loss_soft,train_loss_hard,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_monitor,early_stop_value,early_stop_improved,epochs_without_improvement
1,1.9367373735726285,0.9705215419501134,3.795134308657138,0.07834044182060662,0.7190754416758421,0.8201058201058201,0.0005,31.699793100357056,True,val_loss,0.7190754416758421,True,0
2,1.6930275201256855,0.9739229024943311,3.3058739660007883,0.08018106598377464,0.69790658086696,0.8359788359788359,0.0004996573836886434,18.087544679641724,True,val_loss,0.69790658086696,True,0
3,1.5831351604591422,0.9693877551020408,3.083720069893904,0.08255023969434488,0.7329440012810722,0.8306878306878307,0.0004986304738420682,17.392531156539917,False,val_loss,0.7329440012810722,False,1
4,1.4945354650891016,0.9722222222222222,2.8960293566558906,0.09304158066878784,0.8272880892904978,0.8253968253968254,0.0004969220851487844,16.995901107788086,False,val_loss,0.8272880892904978,False,2
5,1.425492948415328,0.9756235827664399,2.774098394138743,0.07688750641509182,0.80669545780414,0.828042328042328,0.0004945369001834514,17.197890758514404,False,val_loss,0.80669545780414,False,3
6,1.3088327286735413,0.9812925170068028,2.5591778128055216,0.05848764861530525,0.7706985688083386,0.8465608465608465,0.0004914814565722671,17.114208459854126,True,val_loss,0.7706985688083386,False,4
7,1.3911166261383194,0.963718820861678,2.678188644028575,0.10404461148921443,0.8098551356603229,0.8148148148148148,0.00048776412907378846,17.137126445770264,False,val_loss,0.8098551356603229,False,5
8,1.2234932154484617,0.9801587301587301,2.394388063694614,0.052598368451991825,0.8042448544628406,0.8227513227513228,0.00048339510662430044,17.1659996509552,False,val_loss,0.8042448544628406,False,6
9,1.2749589576202185,0.9761904761904762,2.4718480272357968,0.07806987532196977,0.8027846406376551,0.843915343915344,0.0004783863644106502,17.323923110961914,False,val_loss,0.8027846406376551,False,7
10,1.2240566501812058,0.9829931972789115,2.394959330288461,0.05315396769971179,0.8492837841548617,0.828042328042328,0.00047275163104709196,17.95520329475403,False,val_loss,0.8492837841548617,False,8
11,1.194526098753049,0.9835600907029478,2.3321224318610296,0.05692975713988627,0.7995744060587,0.843915343915344,0.00046650635094610973,16.823899030685425,False,val_loss,0.7995744060587,False,9
12,1.2105379396555376,0.971655328798186,2.339474654251756,0.08160123383719263,0.829625563962119,0.8253968253968254,0.00045966764198635603,16.831448793411255,False,val_loss,0.829625563962119,False,10
13,1.1721934163921814,0.981859410430839,2.280428110066455,0.06395872057874342,0.8495279408636547,0.828042328042328,0.0004522542485937369,16.76457953453064,False,val_loss,0.8495279408636547,False,11
14,1.103868406105474,0.9824263038548753,2.1558401741408435,0.05189663996785888,0.8163084208019196,0.8306878306878307,0.00044428649036424276,16.601821184158325,False,val_loss,0.8163084208019196,False,12
15,1.1300274752705546,0.9801587301587301,2.2046671654361716,0.05538777537251107,0.8291302474718245,0.828042328042328,0.0004357862063693486,16.719119548797607,False,val_loss,0.8291302474718245,False,13
16,1.0806489609806986,0.9773242630385488,2.1056609175372825,0.05563701907423053,0.8521352047642703,0.8333333333333334,0.0004267766952966369,16.374428272247314,False,val_loss,0.8521352047642703,False,14
17,1.0851867947718994,0.985827664399093,2.120529547299928,0.049844041727987475,0.8722875950828431,0.8359788359788359,0.0004172826515897146,16.09387707710266,False,val_loss,0.8722875950828431,False,15
