stage,epoch,global_epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,train_loss_soft,train_loss_hard
ce_baseline,1,1,1.6699398639791407,0.31802721088435376,3.9730940268783974,0.3544973544973545,0.05,29.320119857788086,,
ce_baseline,2,2,1.565610588272683,0.3832199546485261,1.3773310449388292,0.42857142857142855,0.049965738368864344,10.461930274963379,,
ce_baseline,3,3,1.4616615842529435,0.4189342403628118,1.2476466723850794,0.5396825396825397,0.049863047384206834,10.528231859207153,,
ce_baseline,4,4,1.3422854179157422,0.47845804988662133,1.2061654846504253,0.5158730158730159,0.04969220851487845,10.221783876419067,,
ce_baseline,5,5,1.2799590861175607,0.5017006802721088,1.1535945783847223,0.5925925925925926,0.049453690018345146,10.134358406066895,,
ce_baseline,6,6,1.261089828819915,0.5153061224489796,1.3805701846168155,0.42592592592592593,0.04914814565722671,10.287546634674072,,
ce_baseline,7,7,1.2046692074020975,0.536281179138322,1.0957882971990676,0.5873015873015873,0.048776412907378844,10.141879558563232,,
ce_baseline,8,8,1.1284826769580105,0.576530612244898,1.1188065829100433,0.5925925925925926,0.048339510662430044,10.287199020385742,,
ce_baseline,9,9,1.1187781406367987,0.578798185941043,0.973042574509111,0.6455026455026455,0.04783863644106502,10.238768577575684,,
ce_baseline,10,10,1.0595232732171644,0.6145124716553289,1.6584053689209872,0.4894179894179894,0.047275163104709195,10.357770919799805,,
ce_baseline,11,11,1.0298804944875288,0.6111111111111112,0.9895167350769043,0.6296296296296297,0.046650635094610975,10.433048486709595,,
ce_baseline,12,12,0.9765617728503653,0.6264172335600907,0.858306677253158,0.6746031746031746,0.0459667641986356,10.683409929275513,,
ce_baseline,13,13,0.9376482379679777,0.6609977324263039,0.8681647588336279,0.671957671957672,0.04522542485937369,10.644256353378296,,
ce_baseline,14,14,0.8651190571774161,0.6865079365079365,1.070816984883061,0.6137566137566137,0.04442864903642428,10.415573358535767,,
ce_baseline,15,15,0.9249857834407261,0.6751700680272109,0.9707814801937689,0.6613756613756614,0.043578620636934864,10.364986658096313,,
ce_baseline,16,16,0.8459264999614551,0.6921768707482994,0.7777221518218833,0.7328042328042328,0.042677669529663696,10.393105506896973,,
ce_baseline,17,17,0.8223266904316251,0.6893424036281179,1.1178348253643702,0.6137566137566137,0.04172826515897146,10.018113851547241,,
ce_baseline,18,18,0.7877797726330573,0.7154195011337868,0.7794576977926587,0.7195767195767195,0.04073300977624594,10.38809871673584,,
ce_baseline,19,19,0.7319580940973192,0.731859410430839,0.8579652795085201,0.6931216931216931,0.03969463130731183,10.495850086212158,,
ce_baseline,20,20,0.7532846981705992,0.717687074829932,0.7487251411670099,0.6931216931216931,0.03861597587537568,10.400878429412842,,
ce_baseline,21,21,0.6921280563012813,0.7426303854875284,0.7918288468053101,0.7063492063492064,0.0375,10.413833141326904,,
ce_baseline,22,22,0.6668260940889112,0.7579365079365079,1.0454715313734833,0.6613756613756614,0.03634976249348867,10.37042784690857,,
ce_baseline,23,23,0.648848268180207,0.7613378684807256,0.865507852305811,0.6984126984126984,0.03516841607689501,10.341729164123535,,
ce_baseline,24,24,0.6245812992660367,0.7675736961451247,0.61429864609683,0.7751322751322751,0.03395919873863252,10.267847776412964,,
ce_baseline,25,25,0.596998201611361,0.7891156462585034,0.5769299423253095,0.7857142857142857,0.03272542485937369,10.378996849060059,,
ce_baseline,26,26,0.5628136304500693,0.7981859410430839,0.609490988746522,0.8121693121693122,0.03147047612756303,10.245423555374146,,
ce_baseline,27,27,0.5744697766509456,0.7987528344671202,0.8603078877484357,0.7037037037037037,0.030197792270443988,10.360427379608154,,
ce_baseline,28,28,0.5929272312696289,0.778344671201814,0.5992940765209299,0.791005291005291,0.02891086162600578,10.302164316177368,,
ce_baseline,29,29,0.5202922119575293,0.812358276643991,0.5277962366109172,0.8148148148148148,0.027613211581691346,10.450385808944702,,
ce_baseline,30,30,0.4800540966376696,0.828798185941043,0.6894511955755728,0.798941798941799,0.026308398906073602,10.520764112472534,,
ce_baseline,31,31,0.4590336796648108,0.8316326530612245,0.5890158805897627,0.8015873015873016,0.025000000000000015,10.464821100234985,,
ce_baseline,32,32,0.4276822522248811,0.8475056689342404,0.6991618821229885,0.7962962962962963,0.02369160109392642,10.394792795181274,,
ce_baseline,33,33,0.41411951008567466,0.8497732426303855,0.47001309748049136,0.8412698412698413,0.022386788418308677,10.408115863800049,,
ce_baseline,34,34,0.40297070165880683,0.8526077097505669,0.5470692445992162,0.8201058201058201,0.02108913837399424,10.425996780395508,,
ce_baseline,35,35,0.39898553396028186,0.8656462585034014,0.5314584071674044,0.8227513227513228,0.019802207729556025,10.53758454322815,,
ce_baseline,36,36,0.35577903285859125,0.8718820861678005,0.6386635656710025,0.7804232804232805,0.018529523872436993,10.500974416732788,,
ce_baseline,37,37,0.36757647910085667,0.8599773242630385,0.6595314750595699,0.7962962962962963,0.017274575140626323,10.33766484260559,,
ce_baseline,38,38,0.31096150869685235,0.8888888888888888,0.5877743852201593,0.8201058201058201,0.0160408012613675,10.405400514602661,,
ce_baseline,39,39,0.31359484197060805,0.8815192743764172,0.5934290122733545,0.8042328042328042,0.014831583923105006,10.426149845123291,,
ce_baseline,40,40,0.281595264365073,0.9007936507936508,0.4787891910820411,0.8465608465608465,0.013650237506511337,10.4236741065979,,
ce_baseline,41,41,0.26275711454231454,0.9058956916099773,0.5709008303268877,0.8253968253968254,0.012500000000000011,10.394272565841675,,
ce_baseline,42,42,0.27502583085544524,0.9002267573696145,0.5917947736997453,0.8201058201058201,0.011384024124624336,10.348368883132935,,
ce_baseline,43,43,0.25828433766656994,0.9115646258503401,0.5240573786869251,0.8333333333333334,0.01030536869268818,10.344105958938599,,
ce_baseline,44,44,0.2601427996780326,0.9126984126984127,0.5104691665323954,0.8597883597883598,0.009266990223754074,10.326626777648926,,
ce_baseline,45,45,0.21201108757600762,0.93140589569161,0.5446899930636088,0.8465608465608465,0.008271734841028559,10.352177143096924,,
ce_baseline,46,46,0.20995817608844125,0.9200680272108843,0.5419430505661738,0.843915343915344,0.007322330470336319,10.392428636550903,,
ce_baseline,47,47,0.19686499880014363,0.9285714285714286,0.4696271668666254,0.8756613756613757,0.006421379363065154,10.36501955986023,,
ce_baseline,48,48,0.19420188523474194,0.9325396825396826,0.4446213323445547,0.8677248677248677,0.0055713509635757314,10.371373653411865,,
ce_baseline,49,49,0.17260734848424691,0.9359410430839002,0.4882081876356135,0.8571428571428571,0.004774575140626319,10.399710416793823,,
ce_baseline,50,50,0.15081128119881732,0.9501133786848073,0.5136679767300842,0.8650793650793651,0.004033235801364403,10.28659725189209,,
ce_baseline,51,51,0.1485061461693035,0.9427437641723356,0.4626179266543615,0.8624338624338624,0.003349364905389034,10.378266096115112,,
ce_baseline,52,52,0.14592541095350875,0.9523809523809523,0.45408814593597696,0.8597883597883598,0.0027248368952908068,10.255492925643921,,
ce_baseline,53,53,0.14276954673585437,0.9512471655328798,0.49518643138269897,0.8492063492063492,0.0021613635589349768,10.396278381347656,,
ce_baseline,54,54,0.1322417217317352,0.9563492063492064,0.5171663373235672,0.843915343915344,0.0016604893375699572,10.34969711303711,,
ce_baseline,55,55,0.12382430040917429,0.9642857142857143,0.47378848642899246,0.8624338624338624,0.0012235870926211622,10.201690435409546,,
ce_baseline,56,56,0.1369109507861321,0.95578231292517,0.48544062666161353,0.8650793650793651,0.0008518543427732926,10.35144853591919,,
ce_baseline,57,57,0.13007457287403462,0.9608843537414966,0.4526137406863863,0.873015873015873,0.000546309981654858,10.262956380844116,,
ce_baseline,58,58,0.13563730332856816,0.9523809523809523,0.4761545147214617,0.8650793650793651,0.00030779148512155867,10.340450525283813,,
ce_baseline,59,59,0.14671710201131513,0.9529478458049887,0.48196536144882285,0.8597883597883598,0.00013695261579316505,10.256191730499268,,
ce_baseline,60,60,0.1074689552356867,0.9659863945578231,0.4648969832551542,0.8650793650793651,3.426163113565419e-05,10.373157501220703,,
