epoch,train_loss,train_acc,train_loss_soft,train_loss_hard,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_monitor,early_stop_value,early_stop_improved,epochs_without_improvement
1,2.8298364269490146,0.9291383219954649,5.454512862121167,0.2051599979814556,0.7403359050473208,0.791005291005291,0.0005,24.06616497039795,True,val_loss,0.7403359050473208,True,0
2,2.415020587763278,0.9206349206349206,4.596135127030803,0.2339060664633099,0.8107564468232412,0.8042328042328042,0.0004996573836886434,12.844577074050903,True,val_loss,0.8107564468232412,False,1
3,2.1743882275492696,0.935374149659864,4.1514730302114335,0.1973034058382857,0.8639270663261414,0.8015873015873016,0.0004986304738420682,11.912480592727661,False,val_loss,0.8639270663261414,False,2
4,2.2122181451239555,0.9183673469387755,4.15636130957917,0.26807497533422614,0.938187076301171,0.791005291005291,0.0004969220851487844,11.803909301757812,False,val_loss,0.938187076301171,False,3
5,2.0901962894431048,0.9285714285714286,3.9605263690559234,0.21986621019510708,0.9595787982461313,0.7936507936507936,0.0004945369001834514,11.721426963806152,False,val_loss,0.9595787982461313,False,4
6,2.1064956958602075,0.9263038548752834,3.9958973968921065,0.2170939978038947,0.945842044063346,0.7857142857142857,0.0004914814565722671,11.80093765258789,False,val_loss,0.945842044063346,False,5
7,1.9660400928012909,0.9263038548752834,3.7252526813083224,0.20682751637399874,0.9318787045579738,0.7936507936507936,0.00048776412907378846,12.122509956359863,False,val_loss,0.9318787045579738,False,6
8,2.0175257215694504,0.9291383219954649,3.804923266239988,0.2301281877601194,0.9664101960167052,0.8042328042328042,0.00048339510662430044,12.030526399612427,False,val_loss,0.9664101960167052,False,7
9,2.0019514933735336,0.9331065759637188,3.768909919288964,0.23499305593377812,1.0378483360406583,0.7936507936507936,0.0004783863644106502,11.980487585067749,False,val_loss,1.0378483360406583,False,8
10,1.9950624561093562,0.9336734693877551,3.757053256305167,0.23307165349337383,1.0261876422261436,0.7936507936507936,0.00047275163104709196,12.01656436920166,False,val_loss,1.0261876422261436,False,9
11,1.9365952360927383,0.9382086167800453,3.6459593264694385,0.22723114695357763,1.000166839708096,0.7883597883597884,0.00046650635094610973,11.910704374313354,False,val_loss,1.000166839708096,False,10
12,1.8801934827212032,0.9370748299319728,3.549494462218685,0.21089251044094393,1.0154688802976457,0.7883597883597884,0.00045966764198635603,11.88027286529541,False,val_loss,1.0154688802976457,False,11
13,1.8832164302704826,0.9393424036281179,3.555551887910112,0.21088099749991143,1.0483546626000178,0.783068783068783,0.0004522542485937369,11.824676036834717,False,val_loss,1.0483546626000178,False,12
14,1.8364672017475916,0.949546485260771,3.5077473560428403,0.16518702940242427,1.0730003402346657,0.783068783068783,0.00044428649036424276,12.108441829681396,False,val_loss,1.0730003402346657,False,13
15,1.8149818130631565,0.9427437641723356,3.4361036067106285,0.19386002036812558,1.05202142744468,0.7962962962962963,0.0004357862063693486,11.848802328109741,False,val_loss,1.05202142744468,False,14
16,1.8767323472332251,0.9382086167800453,3.548118021482783,0.20534666470498006,1.044522965395892,0.8015873015873016,0.0004267766952966369,12.313385248184204,False,val_loss,1.044522965395892,False,15
